SLN,Days,Time
10214A,TTh,1100-1220
Restr10217A,Th,330-520
Restr10218B,T,930-1020
Restr10219C,F,230-350
Restr10220D,Th,1130-1220
Restr10222F,Th,1100-1150
Restr10227K,Th,100-220
Restr10228L,T,400-620
Restr10229N,Th,130-220
Restr10230A,MWF,130-220
10233D,MWF,130-220
Restr10235A,MWF,1230-120
Restr10237A,MWF,1130-1220
Restr10239A,MWF,130-220
Restr10241A,MWF,930-1020
>10244E,MWF,930-1020
Restr10245A,MWF,230-320
10248A,TTh,1000-1120
11944A,TTh,100-220
Restr11945B,TTh,100-220
11946A,MW,530-650
>11947A,TTh,300-420
>11953A,MW,530-650
>11956A,MW,400-520
11959A,Th,430-550
>10453A,MW,830-1120
>10454B,TTh,1130-220
>10455C,TTh,230-520
>10456A,MW,1130-220
>10457B,MW,230-520
>10458C,TTh,830-1120
>10459A,MW,1130-220
>10460A,MW,1130-220
>21520A,TTh,1130-220
>10461A,TTh,1130-220
>10462B,TTh,830-1120
>10463A,TTh,230-520
>10464A,MW,1130-220
>10465A,MW,1130-220
>10466A,TTh,830-1120
>10467B,TTh,230-520
>10468A,TTh,230-520
>10469A,MW,230-520
>10470A,TTh,1130-220
>10471A,MW,1130-220
>21809B,MW,230-520
>21891C,TTh,230-520
>10472A,MW,1130-220
>10473A,TTh,230-520
>10474A,MW,230-520
>10475A,MW,830-1120
>10476B,TTh,1130-220
>10477A,MW,830-1120
>10478B,TTh,1130-220
>10479A,MW,1130-220
>21741A,TTh,1130-220
>10480A,TTh,1130-220
>10481A,TTh,230-520
>10482A,MW,230-520
>10483A,MW,230-520
>10484A,TTh,230-520
>10485A,MW,1130-220
>21874B,MW,230-520
>10487B,TTh,1000-1120
>10489A,MW,1130-220
IS10493A,F,230-520
10497A,MW,1130-1220
10499AB,T,1030-1120
10500AC,T,830-920
10502A,TTh,1230-150
10504AB,W,1030-1120
10505A,MWF,1000-1120
10507A,TTh,1030-1220
10508B,MWF,830-950
Restr10510A,TTh,130-250
Restr10511B,MW,1030-1150
Restr10512A,MW,1230-150
Restr10513A,WF,1000-1120
>10516A,TTh,130-250
Restr10517B,F,930-1220
Restr10518A,MW,1230-150
Restr10519A,M,230-520
Restr13322A,MW,930-1050
Restr13323A,TTh,830-1120
>13325A,MW,1130-220
Restr13327A,MW,1230-320
Restr13329A,MW,1130-220
Restr13330A,TTh,1130-220
Restr13331B,MW,1130-220
Restr13332A,MW,830-1120
Restr13333B,MW,830-1120
Restr13334C,MW,230-520
Restr13335A,W,1200-150
Restr13341A,W,1130-220
Restr13342A,T,230-520
10528B,MW,930-1120
10530A,WF,1130-120
>21500A,MW,130-320
10533C,MW,1230-220
11146A,MTWThF,1030-1120
11147A,MTWThF,1230-120
11148A,MW,230-420
>12317A,TTh,930-1020
12318AA,MWF,830-920
12319AB,MWF,930-1020
12320AD,MWF,930-1020
12321AE,MWF,1030-1120
12323AH,MWF,1130-1220
>12324B,TTh,1030-1120
12325BA,MWF,830-920
12326BB,MWF,930-1020
12327BD,MWF,930-1020
12328BE,MWF,1030-1120
12331A,MTWThF,930-1020
12332A,MTWThF,930-1020
>12333B,MTWThF,1130-1220
>12334A,MTWThF,1130-1220
>12335A,MTWThF,930-1020
>12336B,MTWThF,1030-1120
12337A,MW,130-320
>12338A,MWF,1000-1120
>12339A,W,1130-1250
>12340A,TTh,130-320
>12341A,MW,130-320
>12342A,TTh,130-320
15251A,MTWThF,930-1020
>15252A,MTWThF,1030-1120
>21629A,F,130-320
15253A,WF,130-320
15254A,WF,130-320
>15256A,WF,130-320
15581A,MTWThF,130-220
21768A,MTWThF,230-320
15742A,TTh,930-1020
15743AA,MWF,930-1020
15744AB,MWF,930-1020
15745AC,MWF,1030-1120
15746AD,MWF,1030-1120
15747AE,MWF,1030-1120
15748AF,MWF,1030-1120
15749AG,MWF,1130-1220
15751AI,MWF,1130-1220
15752AJ,MWF,1130-1220
15753AK,MWF,1230-120
15754AL,MWF,1230-120
15755B,TTh,1130-1220
15756BA,MWF,930-1020
15757BB,MWF,930-1020
15758BC,MWF,1030-1120
15759BD,MWF,1030-1120
15760BE,MWF,1030-1120
15761BF,MWF,1030-1120
15762BG,MWF,1130-1220
15764BI,MWF,1130-1220
15765BJ,MWF,1130-1220
15766BK,MWF,1230-120
15767BL,MWF,1230-120
15768A,TTh,1030-1120
15769AA,MWF,930-1020
>15770AB,MWF,1030-1120
>15771AC,MWF,1030-1120
>15772AD,MWF,1130-1220
>15773AE,MWF,1130-1220
>15774AF,MWF,1230-120
15775B,TTh,1130-1220
15776BA,MWF,930-1020
>15777BB,MWF,1030-1120
>15778BC,MWF,1030-1120
>15779BD,MWF,1130-1220
>15780BE,MWF,1130-1220
>15781BF,MWF,1230-120
15782A,TTh,930-1020
15783AA,MW,930-1020
>15784AB,MW,1030-1120
15785AC,MW,1130-1220
15786AD,MW,1230-120
15787B,TTh,1030-1120
15788BA,MW,930-1020
>15789BB,MW,1030-1120
15790BC,MW,1130-1220
>21604BD,MW,1230-120
15794A,MF,130-320
15795A,MTWThF,1130-1220
>15796A,MWF,100-220
15797A,TTh,330-520
15799A,TTh,130-320
15957A,TTh,1030-1120
15958AA,MWF,930-1020
15959AB,MWF,1030-1120
15960AC,MWF,930-1020
15961AD,MWF,1030-1120
>15962AE,MWF,1130-1220
15963AF,MWF,1030-1120
15964AG,MWF,1130-1220
15965B,TTh,1130-1220
15966BA,MWF,930-1020
15967BB,MWF,1030-1120
15968BC,MWF,930-1020
15969BD,MWF,1030-1120
>15970BE,MWF,1130-1220
15971BF,MWF,1030-1120
15973A,TTh,930-1020
15974AA,MWF,1030-1120
15975AB,MWF,1130-1220
15976A,MW,1000-1120
>15977A,MW,330-520
>15978A,MW,130-320
>15979A,MWF,100-220
19764A,MTWThF,930-1020
19765A,MWF,1130-1250
19766A,MWF,1130-1250
19768A,MTWThF,930-1020
19769A,MWF,1130-1250
19770A,MWF,1130-1250
19771A,MWF,1130-1250
19690A,TTh,230-420
21254A,MTWThF,930-1020
21255A,MTWThF,1030-1120
21256A,WF,130-320
21257A,WF,130-320
21259A,WF,130-320
21280A,MTWThF,930-1020
21282A,MTWThF,1030-1120
>21746A,MWF,100-220
10549A,MWF,1130-1220
10550AA,Th,830-920
10551AB,Th,930-1020
10552AC,Th,1030-1120
10553AD,Th,1130-1220
10554AE,Th,1230-120
10555AF,Th,130-220
10559A,TTh,100-220
10560AA,M,930-1020
10561AB,M,1030-1120
10562AC,M,1130-1220
10563AD,W,930-1020
10564AE,W,1030-1120
10565AF,W,1130-1220
10568A,TTh,530-650
10570A,TTh,1000-1120
Restr10572A,TTh,230-350
10573A,TTh,1000-1120
10574A,TTh,130-250
10575A,MW,130-250
Restr10577A,TTh,1200-1250
10581A,WF,1230-150
Restr10582A,MW,230-350
10583A,MW,1030-1150
Restr10584A,F,230-320
Restr10585A,Th,330-450
Restr10586A,MW,100-220
Restr10587A,TTh,530-650
Restr10588A,TTh,130-250
>10547A,T,230-420
11302A,TTh,230-350
21542A,W,330-420
21547B,W,430-520
21548C,W,530-620
21549D,Th,930-1020
21551F,Th,1130-1220
21553H,Th,430-520
11303A,MTWThF,1030-1120
11305B,T,230-420
11307D,W,230-420
11308E,Th,1230-220
11309A,TTh,1000-1120
11311AB,T,300-350
11314A,MTWThF,130-220
11321AG,T,530-720
11322AH,T,530-720
11324AJ,W,830-1020
11325AK,W,1100-1250
11329AO,W,530-720
11330AP,W,530-720
11332AR,Th,830-1020
11333AS,Th,1100-1250
11334AT,Th,1100-1250
11337AW,Th,530-720
11338AX,Th,530-720
11340A,MTWThF,230-320
11341AA,T,900-1120
11342AB,T,900-1120
11345AE,T,400-620
11347AG,W,900-1120
11348AH,W,900-1120
11350AJ,W,1200-220
11351AK,W,400-620
11357AQ,Th,400-620
11358AR,Th,400-620
11359A,MTWThF,1130-1220
11368AI,W,900-1120
11386A,MWF,930-1020
11387A,M,1130-1220
11389AB,TTh,130-420
>11390A,TTh,930-1050
11394A,MW,330-420
11396AB,Th,230-320
11398A,TTh,230-520
11399A,MWF,930-1020
11403AD,T,130-220
11404AE,T,130-220
11406A,MW,230-320
11407AA,T,1030-1120
11408AB,T,1130-1220
11409AC,T,1230-120
11410AD,T,130-220
11411A,TTh,100-220
11412AA,W,1130-1220
11413AB,W,1230-120
11415AD,W,1130-1220
>11416AE,W,1230-120
>11417AF,W,130-220
11418A,MW,130-250
>11419A,W,700-750
11428A,M,130-220
11429A,TTh,830-950
11430AA,W,1100-1220
11431AB,W,300-420
11432AC,W,1000-1120
11433AD,W,830-950
11434A,MWF,1230-120
11435AA,T,930-1020
11436AB,T,1030-1120
11437AC,T,1130-1220
11438A,MW,1030-1120
>11439AA,F,930-1120
Restr11441AC,F,1230-220
11442AD,F,1230-220
11443AE,F,230-420
>11446A,MW,1130-1250
>11447AA,TTh,830-1120
>11448AB,TTh,1130-220
>11449AC,TTh,230-520
11450A,TTh,130-250
11451A,T,900-950
>11452AA,Th,930-1050
11453AB,Th,1100-1220
11456A,MWF,830-920
